# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Sep 28 14:40:53 2025
#
# User preference: *
#
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_icmag:       I (Cousins) Magnitude
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_kepmag:      Kepler Magnitude
#
disposition,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_trandep,pl_trandur,pl_occdep,pl_rvamp,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_dens,st_vsin,st_rotp,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag
CANDIDATE,1.53741150000,,45.00000000,4.00000000,,,,,,,0,1.45640000,2.3808000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,1.599000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m59.48s,174.9978388,-05d02m25.63s,-5.0404536,666.23000000,12.5480000,12.3820000,11.1630000,10.8480000,10.7970000,14.7316000,12.5269000,12.1950000,12.1367000,13.4362000,10.7110000,10.6880000,10.4590000,8.8650000,12.0464000,,11.7233000,12.122
CANDIDATE,2.71189000000,,4.34000000,0.38700000,,,,,,2336.00,0,0.02000000,3.1008000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6402.00,3.167450,1.280000,,,3.543860,0.056787,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h06m22.49s,181.5936878,-04d56m48.14s,-4.9467043,1032.42000000,12.0130000,11.4610000,11.0020000,10.7910000,10.7770000,,,,,,10.6980000,10.7190000,10.6510000,8.0320000,11.8357000,,11.4865000,11.919
CANDIDATE,18.10549000000,,2.09985108,0.19000000,,,,,,,0,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,6213.00,1.224685,,0.1400,[Fe/H],4.320000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h04m29.07s,181.1211419,-04d53m56.89s,-4.8991358,266.86400000,11.5080000,10.9710000,9.8520000,9.6370000,9.5910000,,,,,,9.5390000,9.5970000,9.4890000,8.1600000,10.7424000,,10.3748000,10.897
CONFIRMED,6.79870000000,0.0349000000,1.04700000,0.09340708,,,,0.000000,,,0,,,,,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,,3648.00,0.282000,0.287000,-0.0480,[Fe/H],4.999000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h20m33.81s,170.1408561,-04d48m25.21s,-4.8070039,,19.4560000,17.6984000,13.4640000,12.8560000,12.6190000,,,,,,12.4500000,12.2910000,11.8030000,8.8920000,16.4386000,,15.3176000,15.673
CANDIDATE,79.99990000000,,10.20000000,0.91000000,,,,,,,0,,11.7504000,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4542.00,0.508000,,,,4.747000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416,333.46000000,15.3340000,14.2580000,12.3150000,11.7410000,11.6040000,,,,,,11.5650000,11.5750000,11.6140000,9.1470000,13.9651000,,13.3053000,13.980
CANDIDATE,,,30.00000000,3.00000000,,,,,,,0,3.06000000,14.4720000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.707000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416,333.46000000,15.3340000,14.2580000,12.3150000,11.7410000,11.6040000,,,,,,11.5650000,11.5750000,11.6140000,9.1470000,13.9651000,,13.3053000,13.980
CANDIDATE,17.77297000000,,26.44000000,2.35900000,,,,,,830.00,0,3.66200000,2.8992000,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5847.00,1.254280,1.060000,,,4.266590,0.757342,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h16m40.73s,184.1697015,-04d33m37.42s,-4.5603949,601.26500000,13.8810000,13.3270000,12.0080000,11.6860000,11.6500000,,,,,,11.6350000,11.6600000,11.6480000,8.5890000,13.0873000,,12.6521000,13.080
CANDIDATE,0.99656225000,,32.80000000,2.92622000,,,,,,,0,35.50000000,2.2600000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3727.00,0.500000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m50.50s,172.7104166,-04d30m27.33s,-4.5075924,335.63200000,17.9370000,16.2260000,13.2380000,12.5440000,12.3350000,19.5005000,17.0342000,15.6088000,14.8653000,14.4434000,12.3100000,12.2570000,11.7480000,8.6480000,15.4518000,,14.4539000,15.516
CANDIDATE,14.91238100000,,3.55000000,0.31670979,,,,,,,0,0.25200000,3.0300000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4224.00,0.650000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m22.77s,177.0948891,-04d09m51.86s,-4.1644059,360.10300000,16.8200000,15.5370000,13.2390000,12.5850000,12.4240000,,,,,,12.3930000,12.4640000,12.1510000,8.5470000,15.0437000,,14.2931000,15.135
CANDIDATE,14.91390000000,,3.24000000,0.28900000,,,,,,,0,0.24000000,3.2640000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.647000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m22.77s,177.0948891,-04d09m51.86s,-4.1644059,360.10300000,16.8200000,15.5370000,13.2390000,12.5850000,12.4240000,,,,,,12.3930000,12.4640000,12.1510000,8.5470000,15.0437000,,14.2931000,15.135
CANDIDATE,0.57303573000,,3.35000000,0.29886698,,,,,,,0,0.51000000,0.3200000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3570.00,0.430000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m28.97s,174.1207146,-03d28m58.18s,-3.4828286,1138.64000000,19.6860000,18.7800000,15.9610000,15.3770000,15.1550000,21.7969000,19.4444000,18.0973000,17.5358000,17.1970000,15.1780000,15.0100000,12.4740000,8.6860000,18.0887000,,17.2555000,18.108
CONFIRMED,28.16560000000,,1.87000000,0.16683023,,,,,,,0,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,0.410000,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.25900000,17.8810000,16.0140000,12.7590000,12.1470000,11.9330000,19.7224000,17.0037000,15.5521000,14.5637000,14.0482000,11.8000000,11.7190000,11.9610000,8.8910000,15.2612000,,14.1497000,14.904
CONFIRMED,28.16960000000,,2.20000000,0.20000000,,,,,,,0,0.31600000,3.3600000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.374000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.25900000,17.8810000,16.0140000,12.7590000,12.1470000,11.9330000,19.7224000,17.0037000,15.5521000,14.5637000,14.0482000,11.8000000,11.7190000,11.9610000,8.8910000,15.2612000,,14.1497000,14.904
CANDIDATE,7.90417000000,,2.06000000,0.18400000,,,,,,,0,0.26800000,1.9200000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.374000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.25900000,17.8810000,16.0140000,12.7590000,12.1470000,11.9330000,19.7224000,17.0037000,15.5521000,14.5637000,14.0482000,11.8000000,11.7190000,11.9610000,8.8910000,15.2612000,,14.1497000,14.904
CANDIDATE,7.90696060000,,3.02000000,0.26942635,,,,,,,0,0.28000000,1.7300000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3772.00,0.520000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.25900000,17.8810000,16.0140000,12.7590000,12.1470000,11.9330000,19.7224000,17.0037000,15.5521000,14.5637000,14.0482000,11.8000000,11.7190000,11.9610000,8.8910000,15.2612000,,14.1497000,14.904
CANDIDATE,1.08296140000,,1.56000000,0.13917388,,,,,,,0,0.06550000,1.2200000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3875.00,0.560000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h33m03.07s,173.2627978,-03d23m19.39s,-3.3887192,299.40600000,17.3670000,15.6570000,13.1140000,12.4800000,12.2820000,19.2039000,16.5375000,15.2075000,14.6375000,14.3181000,12.2260000,12.2480000,11.9700000,8.6720000,15.1848000,,14.3513000,15.279
CANDIDATE,0.90565500000,,1.57000000,0.14000000,,,,,,,0,0.06780000,1.4880000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.576000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m12.69s,173.0528796,-03d22m13.16s,-3.3703210,190.07500000,17.1140000,15.7310000,12.5800000,11.9450000,11.7350000,19.2719000,16.5486000,15.1132000,14.2917000,13.8421000,11.6480000,11.6150000,11.8710000,8.3280000,14.9247000,,13.8913000,15.042
CANDIDATE,0.90552205000,,1.52000000,0.13560532,,,,,,,0,0.07910000,1.3200000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3710.00,0.500000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m12.69s,173.0528796,-03d22m13.16s,-3.3703210,190.07500000,17.1140000,15.7310000,12.5800000,11.9450000,11.7350000,19.2719000,16.5486000,15.1132000,14.2917000,13.8421000,11.6480000,11.6150000,11.8710000,8.3280000,14.9247000,,13.8913000,15.042
CANDIDATE,2.75411290000,,4.87000000,0.43447230,,,,,,,0,0.67100000,1.2400000,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3834.00,0.550000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h51m47.15s,177.9464521,-03d14m45.67s,-3.2460183,793.13100000,18.8760000,17.3749000,14.5620000,13.9820000,13.7480000,20.5699000,18.1042000,16.8600000,16.1991000,15.7606000,13.7340000,13.6690000,12.4970000,8.8040000,16.7664000,,15.9022000,16.770
CANDIDATE,2.75421000000,,8.40000000,0.75000000,,,,,,,0,0.74600000,1.3200000,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.890000,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h51m47.15s,177.9464521,-03d14m45.67s,-3.2460183,793.13100000,18.8760000,17.3749000,14.5620000,13.9820000,13.7480000,20.5699000,18.1042000,16.8600000,16.1991000,15.7606000,13.7340000,13.6690000,12.4970000,8.8040000,16.7664000,,15.9022000,16.770
